"Code","Description"
"6920","Actividades de contabilidad, teneduría de libros y auditoría; consultoría fiscal"
"70","Actividades de oficinas principales; actividades de consultoría de gestión"
"701","Actividades de oficinas principales"
"7010","Actividades de oficinas principales"
"702","Actividades de consultoría de gestión"
"7020","Actividades de consultoría de gestión"
"71","Actividades de arquitectura e ingeniería; ensayos y análisis técnicos"
"711","Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica"
"7110","Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica"
"712","Ensayos y análisis técnicos"
"7120","Ensayos y análisis técnicos"
"72","Investigación científica y desarrollo"
"721","Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería"
"7210","Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería"
"722","Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades"
"7220","Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades"
"73","Publicidad y estudios de mercado"
"731","Publicidad"
"7310","Publicidad"
"732","Estudios de mercado y encuestas de opinión pública"
"7320","Estudios de mercado y encuestas de opinión pública"
"74","Otras actividades profesionales, científicas y técnicas"
"741","Actividades especializadas de diseño"
"7410","Actividades especializadas de diseño"
"742","Actividades de fotografía"
"7420","Actividades de fotografía"
"749","Otras actividades profesionales, científicas y técnicas n.c.p."
"7490","Otras actividades profesionales, científicas y técnicas n.c.p."
"75","Actividades veterinarias"
"750","Actividades veterinarias"
"7500","Actividades veterinarias"
"N","Actividades de servicios administrativos y de apoyo"
"77","Actividades de alquiler y arrendamiento"
"771","Alquiler y arrendamiento de vehículos automotores"
"7710","Alquiler y arrendamiento de vehículos automotores"
"772","Alquiler y arrendamiento de efectos personales y enseres domésticos"
"7721","Alquiler y arrendamiento de equipo recreativo y deportivo"
"7722","Alquiler de cintas de vídeo y discos"
"7729","Alquiler y arrendamiento de otros efectos personales y enseres domésticos"
"773","Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles"
"7730","Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles"
"774","Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor"
"7740","Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor"
"78","Actividades de empleo"
"781","Actividades de agencias de empleo"
"7810","Actividades de agencias de empleo"
"782","Actividades de agencias de empleo temporal"
"7820","Actividades de agencias de empleo temporal"
"783","Otras actividades de dotación de recursos humanos"
"7830","Otras actividades de dotación de recursos humanos"
"79","Actividades de agencias de viajes y operadores turísticos y servicios de reservas y actividades conexas"
"791","Actividades de agencias de viajes y operadores turísticos"
"7911","Actividades de agencias de viajes"
"7912","Actividades de operadores turísticos"
"799","Otros servicios de reservas y actividades conexas"
"7990","Otros servicios de reservas y actividades conexas"
"80","Actividades de seguridad e investigación"
"801","Actividades de seguridad privada"
"8010","Actividades de seguridad privada"
"802","Actividades de servicios de sistemas de seguridad"
"8020","Actividades de servicios de sistemas de seguridad"
"803","Actividades de investigación"
"8030","Actividades de investigación"
"81","Actividades de servicios a edificios y de paisajismo"
"811","Actividades combinadas de apoyo a instalaciones"
"8110","Actividades combinadas de apoyo a instalaciones"
"812","Actividades de limpieza"
"8121","Limpieza general de edificios"
"8129","Otras actividades de limpieza de edificios y de instalaciones industriales"
"813","Actividades de paisajismo y servicios de mantenimiento conexos"
"8130","Actividades de paisajismo y servicios de mantenimiento conexos"
"82","Actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas"
"821","Actividades administrativas y de apoyo de oficina"
"8211","Actividades combinadas de servicios administrativos de oficina"
"8219","Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo de oficina"
"822","Actividades de centros de llamadas"
"8220","Actividades de centros de llamadas"
"823","Organización de convenciones y exposiciones comerciales"
"8230","Organización de convenciones y exposiciones comerciales"
"829","Actividades de servicios de apoyo a las empresas n.c.p."
"8291","Actividades de agencias de cobro y agencias de calificación crediticia"
"8292","Actividades de envasado y empaquetado"
"8299","Otras actividades de servicios de apoyo a las empresas n.c.p."
"O","Administración pública y defensa; planes de seguridad social de afiliación obligatoria"
"84","Administración pública y defensa; planes de seguridad social de afiliación obligatoria"
"841","Administración del Estado y aplicación de la política económica y social de la comunidad"
"8411","Actividades de la administración pública en general"
"8412","Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social"
"8413","Regulación y facilitación de la actividad económica"
"842","Prestación de servicios a la comunidad en general"
"8421","Relaciones exteriores"
"8422","Actividades de defensa"
"8423","Actividades de mantenimiento del orden público y de seguridad"
"843","Actividades de planes de seguridad social de afiliación obligatoria"
"8430","Actividades de planes de seguridad social de afiliación obligatoria"
"P","Enseñanza"
"85","Enseñanza"
"851","Enseñanza preescolar y primaria"
"8510","Enseñanza preescolar y primaria"
"852","Enseñanza secundaria"
"8521","Enseñanza secundaria de formación general"
"8522","Enseñanza secundaria de formación técnica y profesional"
"853","Enseñanza superior"
"8530","Enseñanza superior"
"854","Otros tipos de enseñanza"
"8541","Enseñanza deportiva y recreativa"
"8542","Enseñanza cultural"
"8549","Otros tipos de enseñanza n.c.p."
"855","Actividades de apoyo a la enseñanza"
"8550","Actividades de apoyo a la enseñanza"
"Q","Actividades de atención de la salud humana y de asistencia social"
"86","Actividades de atención de la salud humana"
"861","Actividades de hospitales"
"8610","Actividades de hospitales"
"862","Actividades de médicos y odontólogos"
"8620","Actividades de médicos y odontólogos"
"869","Otras actividades de atención de la salud humana"
"8690","Otras actividades de atención de la salud humana"
"87","Actividades de atención en instituciones"
"871","Actividades de atención de enfermería en instituciones"
"8710","Actividades de atención de enfermería en instituciones"
"872","Actividades de atención en instituciones para personas con retraso mental, enfermos mentales y toxicómanos"
"8720","Actividades de atención en instituciones para personas con retraso mental, enfermos mentales y toxicómanos"
"873","Actividades de atención en instituciones para personas de edad y personas con discapacidad"
"8730","Actividades de atención en instituciones para personas de edad y personas con discapacidad"
"879","Otras actividades de atención en instituciones"
"8790","Otras actividades de atención en instituciones"
"88","Actividades de asistencia social sin alojamiento"
"881","Actividades de asistencia social sin alojamiento para personas de edad y personas con discapacidad"
"8810","Actividades de asistencia social sin alojamiento para personas de edad y personas con discapacidad"
"889","Otras actividades de asistencia social sin alojamiento"
"8890","Otras actividades de asistencia social sin alojamiento"
"R","Actividades artísticas, de entretenimiento y recreativas"
"90","Actividades creativas, artísticas y de entretenimiento"
"900","Actividades creativas, artísticas y de entretenimiento"
"9000","Actividades creativas, artísticas y de entretenimiento"
"91","Actividades de bibliotecas, archivos y museos y otras actividades culturales"
"910","Actividades de bibliotecas, archivos y museos y otras actividades culturales"
"9101","Actividades de librerías y archivos"
"9102","Actividades de museos y conservación de lugares y edificios históricos"
"9103","Actividades de jardines botánicos y zoológicos y de reservas naturales"
"92","Actividades de juegos de azar y apuestas"
"920","Actividades de juegos de azar y apuestas"
"9200","Actividades de juegos de azar y apuestas"
"93","Actividades deportivas, de esparcimiento y recreativas"
"931","Actividades deportivas"
"9311","Gestión de instalaciones deportivas"
"9312","Actividades de clubes deportivos"
"9319","Otras actividades deportivas"
"932","Otras actividades de esparcimiento y recreativas"
"9321","Actividades de parques de atracciones y parques temáticos"
"9329","Otras actividades de esparcimiento y recreativas n.c.p."
"S","Otras actividades de servicios"
"94","Actividades de asociaciones"
"941","Actividades de asociaciones empresariales, profesionales y de empleadores"
"9411","Actividades de asociaciones empresariales y de empleadores"
"9412","Actividades de asociaciones profesionales"
"942","Actividades de sindicatos"
"9420","Actividades de sindicatos"
"949","Actividades de otras asociaciones"
"9491","Actividades de organizaciones religiosas"
"9492","Actividades de organizaciones políticas"
"9499","Actividades de otras asociaciones n.c.p."
"95","Reparación de ordenadores y de efectos personales y enseres domésticos"
"951","Reparación de ordenadores y equipo de comunicaciones"
"9511","Reparación de ordenadores y equipo periférico"
"9512","Reparación de equipo de comunicaciones"
"952","Reparación de efectos personales y enseres domésticos"
"9521","Reparación de aparatos electrónicos de consumo"
"9522","Reparación de aparatos de uso doméstico y equipo doméstico y de jardinería"
"9523","Reparación de calzado y de artículos de cuero"
"9524","Reparación de muebles y accesorios domésticos"
"9529","Reparación de otros efectos personales y enseres domésticos"
"96","Otras actividades de servicios personales"
"960","Otras actividades de servicios personales"
"9601","Lavado y limpieza, incluida la limpieza en seco, de productos textiles y de piel"
"9602","Peluquería y otros tratamientos de belleza"
"9603","Pompas fúnebres y actividades conexas"
"9609","Otras actividades de servicios personales n.c.p."
"T","Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio"
"97","Actividades de los hogares como empleadores de personal doméstico"
"970","Actividades de los hogares como empleadores de personal doméstico"
"9700","Actividades de los hogares como empleadores de personal doméstico"
"98","Actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio"
"981","Actividades no diferenciadas de los hogares como productores de bienes para uso propio"
"9810","Actividades no diferenciadas de los hogares como productores de bienes para uso propio"
"982","Actividades no diferenciadas de los hogares como productores de servicios para uso propio"
"9820","Actividades no diferenciadas de los hogares como productores de servicios para uso propio"
"U","Actividades de organizaciones y órganos extraterritoriales"
"99","Actividades de organizaciones y órganos extraterritoriales"
"990","Actividades de organizaciones y órganos extraterritoriales"
"9900","Actividades de organizaciones y órganos extraterritoriales"
